@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
55.0, 0.0, 61.0, 4.0, 2.0, 12.45, 0.1372, 6.063, 1.0, 0.2351, 0.04386, 0.2825, 0.5649, 0.4257, 5.134, 0.2838, 0.578, 2.0, 0.7452, 0.9151, 0.05199, 0.03, 0.4, 3.245, 1.591, 40.0, 0.03454, 0.75, 1.0, 0.0, 144.9, 0.0373, 0.06061, 0.1002, 0.8019, 1.144
71.0, 1.0, 78.0, 3.0, 1.0, 11.79, -0.07494, 5.701, 12.0, 0.6026, 0.09254, 0.09388, 0.1773, 0.3292, 3.437, 0.2374, 0.3872, 2.0, 0.9031, 0.7494, 0.08683, 0.03694, 0.6, 13.6, 3.305, 42.0, 0.02622, 0.4, 1.0, 0.0, 1431.0, 0.09102, 0.2796, 0.1259, 0.5034, 4.306
68.0, 0.0, 71.0, 3.0, 3.0, 12.58, 0.1459, 5.471, 1.0, 0.4617, 0.05849, 0.159, 0.3049, 0.4324, 4.531, 0.2709, 0.4033, 5.0, 0.4889, 0.56, 0.03161, 0.01926, 0.4, 7.022, 3.997, 53.0, 0.02399, 0.4286, 1.0, 0.0, 477.7, 0.03958, 0.1448, 0.05985, 0.7558, 1.226
77.0, 1.0, 77.0, 4.0, 2.0, 14.89, 0.1972, 5.916, 2.0, 0.5305, 0.117, 0.1116, 0.2929, 0.5249, 4.973, 0.143, 0.05847, 2.0, 0.3524, 0.4793, 0.006269, 0.02405, 0.2, 21.15, 5.131, 56.0, 0.01738, 0.1667, 1.0, 0.0, 435.3, 0.03835, 0.07303, 0.07426, 0.8144, 0.9236
67.0, 0.0, 72.0, 6.0, 2.0, 11.46, 0.1666, 6.351, 2.0, 0.4731, 0.03879, 0.1021, 0.2919, 0.297, 3.301, 0.2558, 0.2784, 2.0, 0.4311, 0.1924, 0.1311, 0.0296, 0.6, 16.37, 7.37, 112.0, 0.03233, 0.5, 1.0, 0.0, 999.8, 0.06491, 0.1031, 0.0781, 0.7539, 2.678
62.0, 0.0, 70.0, 3.0, 2.0, 10.12, -0.1904, 6.093, 1.0, 0.4674, 0.06352, 0.1303, 0.2432, 0.2742, 2.631, 0.2217, 0.3872, 2.0, 0.6999, 0.5409, 0.002849, 0.02992, 0.4, 10.71, 6.128, 59.0, 0.03244, 0.5, 1.0, 0.0, 525.7, 0.1123, 0.182, 0.114, 0.5917, 1.075
74.0, 0.0, 73.0, 3.0, 1.0, 14.52, 0.04773, 5.308, 2.0, 0.4642, 0.06135, 0.1186, 0.2964, 0.3859, 3.889, 0.1452, 0.249, 6.0, 0.3763, 0.4028, 0.03797, 0.01828, 0.3, 16.25, 7.705, 106.0, 0.02002, 0.25, 1.0, 0.0, 3131.0, 0.1175, 0.1512, 0.09357, 0.6377, 1.572
72.0, 0.0, 72.0, 2.0, 2.0, 14.14, -0.03933, 5.475, 2.0, 0.5082, 0.03461, 0.08022, 0.2547, 0.3677, 3.422, 0.1458, 0.2538, 5.0, 0.4742, 0.5175, 0.07332, 0.02305, 0.3, 14.19, 6.705, 74.0, 0.02433, 0.3333, 1.0, 0.0, 1243.0, 0.1388, 0.06956, 0.1073, 0.6844, 0.9699
64.0, 0.0, 72.0, 2.0, 2.0, 14.07, 0.1553, 4.909, 2.0, 0.31, 0.08096, 0.2033, 0.5327, 0.4164, 3.738, 0.1781, 0.4056, 6.0, 0.521, 0.5218, 0.09692, 0.01803, 0.25, 17.78, 3.559, 75.0, 0.0159, 0.1538, 1.0, 0.0, 412.4, 0.04733, 0.06612, 0.05109, 0.8355, 3.084
50.0, 0.0, 70.0, 6.0, 3.0, 12.39, 0.01636, 7.095, 4.0, 0.5938, 0.002604, 0.005208, 0.1016, 0.5065, 5.991, 0.3426, 0.4059, 1.0, 0.6991, 0.641, 0.06037, 0.01836, 0.1667, 7.061, 2.994, 42.0, 0.02352, 0.375, 1.0, 0.0, 118.1, 0.08333, 0.0619, 0.1238, 0.731, 0.3902
